uniqueID;Spec;Plotname;DBH;CBH1;CBH2;CD1;CD2;meanCD;State;SpecGroup;Height;realX;realY;realZ
BR01_595;QuePet;BR01;12,7;3,8;5,7;4,8;2,5;3,65;alive;Broad-leaved;12,699;476755,588;5429105,583;254,142975
BR01_596;QuePet;BR01;17,2;3,7;5,4;3,4;5,2;4,3;alive;Broad-leaved;17,51675138;476758,7023;5429112,189;253,61
BR01_597;FagSyl;BR01;5,4;1,1;1,1;3,8;2,8;3,3;alive;Broad-leaved;9,51;476765,4855;5429098,106;257,378113
BR01_598;FraExc;BR01;11;4,8;4,8;3,47;3,87;3,67;alive;Broad-leaved;13,388;476768,1363;5429097,019;258,042969
BR01_599;FagSyl;BR01;6,9;3;3;4,17;3,68;3,925;alive;Broad-leaved;8,254360297;476761,5332;5429096,583;256,88
BR01_6;CarBet;BR01;6;0,8;0,8;2,81;4,63;3,72;alive;Broad-leaved;6,348243838;476719,2658;5429024,882;256,98
BR01_60;QuePet;BR01;18;4,3;4,3;8,9;6,7;7,8;alive;Broad-leaved;14,745;476751,3075;5429076,348;257,695221
BR01_600;FagSyl;BR01;8,2;0,5;0,5;4,9;4,61;4,755;alive;Broad-leaved;9,957;476766,6613;5429099,215;257,393951
BR01_601;FagSyl;BR01;9,7;0,45;0,45;4,9;4,61;4,755;alive;Broad-leaved;10,528;476767,3623;5429100,162;257,35379
BR01_602;CarBet;BR01;7,1;1,9;1,9;4,51;3,03;3,77;alive;Broad-leaved;9,51;476768,0103;5429099,677;257,540894
BR01_603;FagSyl;BR01;37,7;2,2;2,2;12,94;12,49;12,715;alive;Broad-leaved;20,98;476774,362;5429099,182;258,750458
BR01_604;FraExc;BR01;9,8;4,3;6,8;4,5;4,3;4,4;alive;Broad-leaved;12,563;476771,1913;5429101,431;257,692413
BR01_605;FraExc;BR01;10;3,2;8,9;3;3,8;3,4;alive;Broad-leaved;12,732;476771,0795;5429102,308;257,398834
BR01_606;AcePse;BR01;5,7;3,3;5,8;3,3;4,2;3,75;alive;Broad-leaved;7,560125177;476768,912;5429105,616;256,37
BR01_607;FagSyl;BR01;8,3;1;1;4,6;4,3;4,45;alive;Broad-leaved;9,860123169;476765,5164;5429104,747;255,84
BR01_609;FagSyl;BR01;14,8;0,4;0,4;7,3;6,4;6,85;alive;Broad-leaved;16,0012679;476763,9384;5429103,656;255,87
BR01_610;QuePet;BR01;16,4;2,4;4,6;5,3;5,3;5,3;alive;Broad-leaved;16,90429388;476761,1685;5429100,355;256
BR01_611;QuePet;BR01;7,5;6,1;6,1;3;3,2;3,1;alive;Broad-leaved;8,362566399;476761,2277;5429102,938;255,45
BR01_612;QuePet;BR01;14,8;2,5;5,4;4,9;6,3;5,6;alive;Broad-leaved;15,60810492;476764,1627;5429106,648;255,21
BR01_613;QuePet;BR01;15,1;3,8;8,1;4,9;4,3;4,6;alive;Broad-leaved;15,85862684;476762,2484;5429105,106;255,29
BR01_614;QuePet;BR01;6,1;1,7;NA;3,3;2;2,65;alive;Broad-leaved;6,749750119;476761,3265;5429105,83;255,09
BR01_615;QuePet;BR01;14,2;1,9;5,9;4,5;5,8;5,15;alive;Broad-leaved;15,09635106;476764,7737;5429109,024;255,01
BR01_616;QuePet;BR01;16,9;2,8;4,6;5,7;4,3;5;alive;Broad-leaved;13,095;476764,4446;5429108,566;255,137283
BR01_617;FagSyl;BR01;5,3;0,7;0,7;4,2;4,2;4,2;alive;Broad-leaved;6,323610679;476760,2545;5429104,123;255,19
BR01_618;FraExc;BR01;9,1;8,1;8,1;2,91;3,64;3,275;alive;Broad-leaved;12,215;476765,3225;5429090,181;258,66629
BR01_619;QuePet;BR01;10;3,2;3,2;2,96;2,96;2,96;alive;Broad-leaved;11,178;476763,2963;5429090,925;258,074219
BR01_620;QuePet;BR01;10,1;1,5;4,5;3,51;3,76;3,635;alive;Broad-leaved;11,939;476761,6063;5429091,849;257,550781
BR01_621;CarBet;BR01;5,2;1,2;1,2;4,08;3,73;3,905;alive;Broad-leaved;5,520418712;476756,2841;5429091,377;256,54
BR01_622;QuePet;BR01;16,1;3,3;3,3;5,36;4,8;5,08;alive;Broad-leaved;14,503;476759,771;5429092,621;257,172974
BR01_623;QuePet;BR01;8,7;3;3;2,69;3,28;2,985;alive;Broad-leaved;13,77;476758,2634;5429093,438;256,668213
BR01_624;FagSyl;BR01;7;0,9;0,9;3,8;5,9;4,85;alive;Broad-leaved;8,372053374;476758,493;5429094,46;256,45
BR01_625;FagSyl;BR01;7,8;0,9;0,9;3,8;5,9;4,85;alive;Broad-leaved;10,561;476762,8018;5429095,02;257,446045
BR01_626;QuePet;BR01;6,9;6,1;6,1;3,5;3,4;3,45;alive;Broad-leaved;7,88;476762,2583;5429096,525;257,14525
BR01_627;CarBet;BR01;5,3;3,1;3,1;2,27;2,64;2,455;alive;Broad-leaved;5,624627205;476763,0483;5429090,03;258,04
BR01_628;CarBet;BR01;8,1;1,6;1,6;3,59;3,34;3,465;alive;Broad-leaved;8,418515302;476761,8989;5429091,226;257,73
